Title,Author,Category,Publication Year,ISBN,Status,Student Name,Issue_Date,Returned_Date,Condition
"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly","Ornish, Dean and Brown, Shirley Elizabeth (EDT)",Science,2019,3271782991,Issued,Student 54,04-02-2024,13-02-2024,Damaged
Majorca: Culture and Life,Konemann Inc. (EDT),Biography,2015,5962610986,Issued,Student 108,02-07-2024,13-07-2024,Lost
Written by Herself: Autobiographies of American Women: An Anthology,"Conway, Jill Ker (EDT)",Biography,1996,7465682673,Issued,Student 27,24-01-2024,14-02-2024,Good
The Universe of Galaxies,"Hodge, Paul",Fiction,1980,9503167458,Available,,,,Lost
Ice Bound: A Doctor's Incredible Battle For Survival at the South Pole,"Nielsen, Jerri and Vollers, Maryanne",Fantasy,2007,3409076656,Returned,,,,To Be Replaced
Healing Benefits of Garlic,"Heinerman, John",Non-Fiction,2014,3373077218,Issued,Student 66,11-01-2024,21-01-2024,To Be Replaced
Me and Ted Against the World : The Unauthorized Story of the Founding of CNN,"Schonfeld, Reese",Science,1993,3929454134,Available,,,,To Be Replaced
Magnet Therapy: The Pain Cure Alternative,"Lawrence, Ronald Melvin, Plowden, Judith, and Rosch, Paul",Fantasy,2006,4218981849,Returned,,,,Damaged
Controlling Cholesterol: Dr. Kenneth H. Cooper's Preventative Medicine Program,"Cooper, Kenneth H.",History,1981,9265609985,Issued,Student 128,09-03-2024,15-03-2024,To Be Replaced
George Meany And His Times: A Biography,"Robinson, Archie",History,1982,8982597239,Available,,,,Lost
American Dreams: Lost & Found,"Terkel, Studs",Science,1999,4742303947,Available,,,,Damaged
Sharing the Pie : A Citizen's Guide to Wealth and Power,"Brodner, Steve (ILT) and Brouwer, Steve",Non-Fiction,2005,6704841644,Returned,,,,To Be Replaced
"Love, Love, and Love","Bernhard, Sandra",Science,2021,7482848011,Issued,Student 15,30-01-2024,28-02-2024,Good
Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire,"Goldman, Kevin",Fantasy,1996,1164313410,Issued,Student 177,05-07-2024,31-07-2024,Damaged
What Went Wrong at Enron: Everyone's Guide to the Largest Bankruptcy in U.S. History,"Fusaro, Peter C. and Miller, Ross M.",Fantasy,2012,5791662169,Available,,,,To Be Replaced
"The Addictive Organization: Why We Overwork, Cover Up, Pick Up the Pieces, Please the Boss, and Perpetuate S","Schaef, Anne Wilson and Fassel, Diane",Biography,2007,9597198563,Returned,,,,Good
From the Silent Earth: A Report on the Greek Bronze Age,Joseph Alsop,Fiction,2022,9249648005,Issued,Student 64,03-07-2024,01-08-2024,Damaged
Panic Disorder and Its Treatment (Medical Psychiatry Series),"Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT)",Science,2022,7049001493,Issued,Student 152,21-05-2024,26-05-2024,Damaged
Henry VIII (English Monarchs Series),"Scarisbrick, J. J.",Biography,2004,4877520294,Issued,Student 208,20-05-2024,16-06-2024,To Be Replaced
The Moral Intelligence of Children,"Coles, Robert",Science,1993,8106906538,Issued,Student 227,23-04-2024,15-05-2024,Damaged
"Concordance to the New English Bible, New Testament,","Elder, E",History,1990,3829742424,Issued,Student 264,18-06-2024,09-07-2024,Good
Life at the Edge: Readings from Scientific American Magazine,"Gould, James L. and Gould, Carol Grant (EDT)",Fiction,1995,8184602688,Available,,,,Damaged
Cook Healthy: Cook Quick,"Wesler, Cathy A.",Fiction,1982,5607762160,Issued,Student 295,19-02-2024,13-03-2024,To Be Replaced
Images Of War: The Artist's Vision of World War II,"McCormick, Ken",History,2005,2047905204,Returned,,,,Good
Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage,"Parrott, Les",Fiction,2007,1939915527,Issued,Student 26,22-05-2024,30-05-2024,Lost
Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,"Moore, Thomas",Non-Fiction,2009,7852415525,Issued,Student 259,19-04-2024,16-05-2024,Good
Victims of Progress,"Bodley, John H.",Non-Fiction,2010,7228002201,Available,,,,Good
Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,"Moore, Geoffrey A.",Technology,2013,6322520473,Issued,Student 40,01-07-2024,11-07-2024,Lost
Sunset at Rosalie: A Novel,"McLaughlin, Ann L.",Science,2000,1346078411,Returned,,,,Good
"The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary","Iovine, Vicki",Biography,1989,4034047118,Returned,,,,Lost
"Sherlock Holmes and the Red Demon by John H. Watson, M.D.","Watson, John H. and Millett, Larry (EDT)",Science,2014,7296096954,Available,,,,To Be Replaced
"New Lands, New Men","Goetzmann, William H.",History,2017,7767538527,Issued,Student 4,31-03-2024,10-04-2024,Damaged
Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume),"Osborne, David and Gaebler, Ted",Technology,2006,4856070374,Issued,Student 113,10-03-2024,24-03-2024,Good
Proverbs For The People,"Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)",History,2001,8722962486,Available,,,,Good
Great American Countryside,"Landi, Val",Fantasy,2014,1116402431,Issued,Student 70,28-04-2024,04-05-2024,Lost
Rob Whitlock: A Pioneer Boy in Old Ohio,"Jackson, Kathryn",History,2000,6204041308,Issued,Student 173,13-07-2024,11-08-2024,To Be Replaced
British Hospitals (Britain in Pictures),A. G. L. Ives,Technology,2006,5646751885,Returned,,,,Damaged
An essay on morals,"Wylie, Philip",Fiction,2002,2062073697,Available,,,,Damaged
"Kid, You Sing My Songs of Love, and Loss, and Hope","Wyse, Lois and Rogers, Lilla (ILT)",Non-Fiction,1988,5070585433,Issued,Student 132,15-07-2024,27-07-2024,Lost
Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society,"Naisbitt, John and Aburdene, Patricia",Fantasy,1987,2335901990,Available,,,,Lost
A Sister Is Forever: A Blue Mountain Arts Collection for One of the Most Beautiful People You'll Ever Know,"Morris, Gary (EDT) and Blue Mountain Arts Collection (COR)",Biography,2004,4070964768,Returned,,,,To Be Replaced
The Practical Stylist,"Baker, Sheridan Warner",Technology,2020,2043030161,Issued,Student 62,24-05-2024,19-06-2024,To Be Replaced
The Periodic Kingdom: A Journey Into The Land Of The Chemical Elements (Science Masters Series),"Atkins, P. W.",Fantasy,2007,8136179811,Available,,,,Good
Titanic,"Kirkland, Douglas, Marsh, Ed W., and Kirkland, Douglas (PHT)",Science,1980,8943866829,Issued,Student 55,20-04-2024,02-05-2024,Damaged
A Woman of Egypt,"Sadat, Jehan",Biography,1989,2870403050,Issued,Student 276,17-07-2024,02-08-2024,Good
Civilization III: Instruction Manual,"Meier, Sid",Technology,2017,6447717367,Available,,,,To Be Replaced
"Alcatraz '46;: The anatomy of a classic prison tragedy,","Don DeNevi, Philip Bergen",History,1995,8518238399,Issued,Student 173,08-01-2024,24-01-2024,Lost
Elvis in the Morning,"Buckley, William F.",History,1993,6404582459,Issued,Student 142,22-05-2024,23-05-2024,Lost
"Fat Free, Flavor Full: Dr. Gabe Mirkin's Guide to Losing Weight and Living Longer","Mirkin, Gabe and Rich, Diana",Fiction,1995,8387664437,Issued,Student 285,13-07-2024,21-07-2024,Good
White Gold Wielder - Book Three of The Second Chronicles of Thomas Covenant,"Donaldson, Stephen R.",Biography,2011,1074059253,Issued,Student 114,13-04-2024,06-05-2024,To Be Replaced
From Image to Likeness: A Jungian Path in the Gospel Journey,"Grant, W. Harold, Thompson, Magdala, and Clarke, Thomas E.",Biography,2017,6879898071,Issued,Student 218,09-07-2024,27-07-2024,Lost
ON THE WING: The Life of Birds: From Feathers to Flight,"Brooks, Bruce",Biography,2009,6458544482,Issued,Student 119,31-01-2024,24-02-2024,To Be Replaced
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"Mezrich, Ben",Fiction,2014,3964229896,Returned,,,,Good
Future Space: Beyond Earth,"Quigley, Sebastian (ILT) and Jefferis, David",History,1997,6128695961,Returned,,,,Good
"The young Jefferson, 1743-1789,","Bowers, Claude Gernade",Science,1980,5838636972,Available,,,,Lost
"Mayo Clinic On Hearing: Strategies for Managing Hearing Loss, Dizziness and Other Ear Problems (""MAYO CLINIC ON"" SERIES)","Olsen, Wayne, Ph.D. (EDT)",Science,1988,8528185058,Available,,,,Good
"Trust Me, Mom-Everyone Else Is Going!: The New Rules for Mothering Adolescent Girls","Cohen-Sandler, Roni, Ph.D.",Science,2010,7351029162,Issued,Student 95,14-01-2024,23-01-2024,Lost
I Hate School: How to Hang in and When to Drop Out,"Wirths, Claudine G. and Bowman-Kruhm, Mary",Technology,1984,7015992643,Returned,,,,Damaged
The Quotable Ronald Reagan,"Reagan, Ronald and Hannaford, Peter",Biography,1983,1651662547,Issued,Student 44,04-03-2024,08-03-2024,Damaged
"Rooster crows for day,","Burman, Ben Lucien",History,2018,3656086594,Issued,Student 231,23-04-2024,03-05-2024,Damaged
Leadership Is an Art,"De Pree, Max",Science,2016,3667292043,Returned,,,,Good
What's Going On?: Personal Essays,"McCall, Nathan",Biography,1993,1348697524,Available,,,,To Be Replaced
Dark Fields of the Republic: Poems 1991-1995,"Rich, Adrienne Cecile",Fiction,1990,5306459450,Issued,Student 241,15-03-2024,17-03-2024,Lost
Creating an Inclusive School,"Villa, Richard A. (EDT) and Thousand, Jacqueline S. (EDT)",Biography,1998,2950049698,Available,,,,Lost
Edit Yourself : A manual for everyone who works with words,"Ross-Larson, Bruce",Fantasy,2022,6144594354,Returned,,,,Lost
Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,"Hinckley, Gordon B. and Wallace, Mike (FRW)",Biography,1989,9196564761,Returned,,,,Lost
North Carolina Ghosts and Legends,"Roberts, Nancy",Non-Fiction,1999,9251459094,Issued,Student 64,29-04-2024,22-05-2024,Good
Balkan Odyssey a personal account of the international peace efforts following the breakup of the former Yugoslavia,"Owen, David",History,1997,7415801613,Available,,,,Lost
Straight Talk about Death for Teenagers: How to Cope with Losing Someone You Love,"Grollman, Earl A.",History,2000,7887897660,Available,,,,Good
Understanding Thomas Jefferson,"Halliday, E. M.",Biography,2016,8822944679,Available,,,,Damaged
"Hey Mom! I'm Hungry!: Great-Tasting, Low-Fat, Easy Recipes to Feed Your Family","Powter, Susan",Non-Fiction,2010,2194673401,Issued,Student 252,24-01-2024,09-02-2024,Damaged
"Changes in the Land: Indians, Colonists and the Ecology of New England","Cronon, William",Science,2000,3878201524,Returned,,,,To Be Replaced
An East Wind Coming,Arthur Byron Cover,Biography,2011,9354542654,Returned,,,,Lost
Going the Other Way: Lessons from a Life In and Out of Major League Baseball,"Bean, Billy and Bull, Chris",Science,1996,2388450337,Issued,Student 264,01-01-2024,23-01-2024,Damaged
Consider Your Options: Get the Most from Your Equity Compensation,"Thomas, Kaye A.",History,1983,8543865915,Issued,Student 27,22-02-2024,02-03-2024,Damaged
Molecular Cell Biology,"Lodish, Harvey F., Baltimore, David, and Berk, Arnold (CON)",Science,2008,3081821325,Available,,,,Lost
Majendie's Cat,"Fowlkes, Frank V.",Technology,1995,4048494026,Issued,Student 283,04-01-2024,22-01-2024,To Be Replaced
First Things First,"Covey, Stephen R., Merrill, A. Roger, and Merrill, Rebecca R.",Non-Fiction,1987,4574027737,Issued,Student 150,10-05-2024,02-06-2024,To Be Replaced
Best Friends: The True Story of the World's Most Beloved Animal Sanctuary,"Glen, Samantha and Moore, Mary Tyler (INT)",Technology,2010,9505085936,Available,,,,To Be Replaced
"Prudens futuri: The US Army War College, 1901-1967","Pappas, George S.",Non-Fiction,2004,5594799319,Issued,Student 175,09-05-2024,18-05-2024,Damaged
Joshua: A Parable for Today,"Girzone, Joseph F.",Biography,1999,8129391249,Returned,,,,Good
Things Not Seen and Other Stories,"Williams, Lynna",History,2002,6915072151,Issued,Student 97,27-06-2024,05-07-2024,Good
Putting the One Minute Manager to Work: How to Turn the 3 Secrets into Skills,"Blanchard, Kenneth H. and Lorber, Robert",Non-Fiction,2006,5482431018,Issued,Student 196,08-04-2024,30-04-2024,Good
The Spiritual Life of Children,"Coles, Robert",History,1982,8924383984,Returned,,,,Good
Constancia and Other Stories for Virgins,"Fuentes, Carlos and Christensen, Thomas (TRN)",Fiction,1989,1662976399,Issued,Student 136,27-03-2024,16-04-2024,Lost
May I Have This Dance?,"Rupp, Joyce and Veeder, Judith (ILT)",Biography,1985,8953271391,Issued,Student 163,09-06-2024,02-07-2024,Damaged
"Meditations from Conversations with God: An Uncommon Dialogue, Book 1 (Conversations with God Series)","Walsch, Neale Donald",Technology,2014,9744120054,Available,,,,To Be Replaced
Washington bowed,"McKeldin, Theodore R",Biography,1998,5283911723,Available,,,,Lost
Chagall,"Compton, Susan P.",Technology,2020,5726642606,Available,,,,Good
Ride a Pale Horse,"MacInnes, Helen",Fiction,1982,5535997538,Issued,Student 192,20-04-2024,25-04-2024,Damaged
Listening to Prozac: A Psychiatrist Explores Antidepressant Drugs and the Remaking of the Self,"Kramer, Peter D.",History,2016,1773338452,Available,,,,Good
"The Big Garage on Clear Shot: Growing Up, Growing Old, and Going Fishing at the End of the Road","Bodett, Tom",Technology,2004,6329323383,Returned,,,,To Be Replaced
Life Stories,"Newbold, Heather (EDT)",Biography,1996,7268807553,Returned,,,,Good
Houghton Mifflin Invitations to Literature: Student Anthology Level 1.3 Share 1997 (Invitations to Lit 1997),Hm (COR),Biography,2014,1678500147,Issued,Student 177,30-05-2024,09-06-2024,Good
Grow Greener: Ten Steps to a Richer Life,"Hoxton, Rob",Biography,1996,2297602688,Issued,Student 248,28-01-2024,05-02-2024,Good
"Frames of Reference: Looking at American Art, 1900-1950: Works from the Whitney Museum of American Art","Fraser, Kennedy, Whitney Museum of American Art (COR), Weinberg, Adam D., and Venn, Beth",Science,2016,8298348088,Returned,,,,Damaged
Remembering Main Street: An American Album,"Ross, Pat",Science,1980,4431078106,Issued,Student 113,11-06-2024,18-06-2024,Damaged
Spicy,"Hayes, Alan",Biography,2022,5464285982,Issued,Student 18,28-05-2024,09-06-2024,Lost
Pope John Paul II,"Szulc, Tad",Fiction,1998,2784572192,Available,,,,To Be Replaced
"The Virgin Homeowner: The Essential Guide to Owning, Maintaining, and Surviving Your Home","Papolos, Janice",Science,2013,6001680218,Returned,Student 152,10-07-2024,07-08-2024,Damaged
"Fight Fat After Forty: The Revolutionary Three-Pronged Approach That Will Break Your Stress-Fat Cycle and Make You Healthy, Fit, and Trim for Life","Peeke, Pamela",History,1984,5151086814,Issued,Student 286,03-04-2024,06-04-2024,To Be Replaced
Leadership Presence,"Halpern, Belle Linda and Lubar, Kathy",Science,2014,5825776872,Issued,Student 135,29-05-2024,11-06-2024,Damaged
The Golden Christmas Tree,"Weisgard, Leonard (ILT) and Wahl, Jan",Fiction,2023,6299224734,Available,,,,Damaged
The Age of Uncertainty,"Galbraith, John Kenneth",Science,2019,9861449701,Returned,Student 155,15-06-2024,29-06-2024,To Be Replaced
Global Literacies: Lessons on Business Leadership and National Cultures,"Rosen, Robert (EDT), Digh, Patricia, Singer, Marshall, and Phillips, Carl",Fiction,1982,3115806625,Available,,,,Damaged
Results: The Key to Continuous School Improvement,"Schmoker, Michael J.",Non-Fiction,2004,7243352390,Returned,Student 80,16-04-2024,07-05-2024,Lost
Trailside Guide: Fly Fishing,"Hildebrand, Ron (ILT) and Merwin, John",Fantasy,2006,2201474778,Issued,Student 112,23-04-2024,08-05-2024,Lost
I Wish I Had a Red Dress,"Cleage, Pearl",Fiction,2023,8064477344,Available,,,,Lost
The economics of macro issues,"Miller, Roger LeRoy",Non-Fiction,1987,8834841054,Available,,,,Lost
Family Guide to Natural Medicine,Reader's Digest Association,Biography,2020,1091729577,Issued,Student 125,02-02-2024,28-02-2024,Good
Killer Diller,"Edgerton, Clyde",Fiction,2015,4735313433,Returned,Student 76,01-06-2024,02-06-2024,Good
Herbal Medicine,"Buchman, Dian Dincin",Non-Fiction,2014,1749459431,Available,,,,Good
The Visitation,"Reidy, Sue",Science,1995,7824071339,Available,,,,Lost
Big Kitchen Instruction Book,"Zemke, Deborah (ILT) and Brown, Rosemary Carleton",Fiction,1988,8480622107,Available,,,,Lost
"One World, One Heart",Susan Polis Schutz,History,2008,8636525027,Available,,,,Damaged
Reengineering the Corporation,"Hammer, Michael and Champy, James",Non-Fiction,2019,9776185998,Returned,Student 235,13-06-2024,14-06-2024,Lost
What My Parents Did Right,"Gaither, Gloria (COM)",Technology,2005,5758659815,Returned,Student 38,21-01-2024,01-02-2024,To Be Replaced
The Man's Health Sourcebook,"Dashe, Alfred M.",Fiction,1988,6691628146,Issued,Student 233,09-05-2024,29-05-2024,To Be Replaced
High Tech Illustration,"Martin, Judy",Technology,1987,6218484323,Returned,Student 117,15-04-2024,26-04-2024,Good
Chinese Roundabout: Essays in History and Culture,"Spence, Jonathan D.",History,1986,6637352245,Returned,Student 131,05-04-2024,10-04-2024,Lost
"Behind closed doors;: The secret history of the cold war,","Zacharias, Ellis M",Fiction,1985,4572433066,Available,,,,Damaged
"Production & Operations Management : Quality, Performance, and Value","Evans, James R.",Biography,2003,4486522557,Available,,,,Good
Shackleton's Boat Journey,"Worsley, Frank Arthur",Fantasy,2001,3877685081,Issued,Student 182,19-06-2024,14-07-2024,Lost
An Atlas of the Difficult World: Poems 1988-1991,"Rich, Adrienne Cecile",Fiction,1998,7873709012,Issued,Student 54,27-05-2024,13-06-2024,Damaged
Are You Considering Psychoanalysis?,"Horney, Karen (EDT)",Biography,2010,5759761714,Issued,Student 59,14-07-2024,23-07-2024,Lost
"The Splendid Century: French Art: 1600-1715 - exhibition at The National Gallery of Art,  The Toledo Museum of Art, The Metropolitan Museum of Art, 1960-1961",Text by Theodore Rousseau,Technology,2007,9702693937,Returned,Student 15,16-02-2024,25-02-2024,Lost
Blue Guide: Oxford and Cambridge (Blue Guides (Only Op)),Geoffrey Tyack,Science,2001,2507634128,Available,,,,Damaged
Daughter of Regals & Other Tales,"Donaldson, Stephen R.",Biography,2005,1298867122,Available,,,,Good
Get Thee To a Punnery,"Lederer, Richard",Fantasy,1993,6910709963,Returned,Student 175,10-02-2024,22-02-2024,Damaged
Too Young to Retire: 101 Ways To Start The Rest of Your Life,"Stone, Howard and Stone, Marika",Science,2016,3560761628,Available,,,,Damaged
Zillionaire's Daughter,"Sorel, Edward",Technology,2019,9803662851,Available,,,,Good
Macintosh programming primer,"Mark, David, Reed, Cartwright",Biography,2007,7193532615,Issued,Student 111,12-07-2024,29-07-2024,To Be Replaced
Ireland's Women: Writings Past and Present,"Kennelly, Brendan, Donovan, Katie, and Jeffares, A. Norman",History,1987,8160279830,Available,,,,Damaged
Currier and Ives Four Seasons Cookbook,NATAHANIEL CURRIER and JAMES MERRITT,Fantasy,1983,1033015788,Issued,Student 109,15-07-2024,20-07-2024,Good
Testimonies: A Novel,"O'Brian, Patrick",Science,2000,1515328854,Returned,Student 221,14-02-2024,19-02-2024,Good
"Career Guide: Opportunities and Resources for You (The Ebony Success Library, V. 3)",Ebony,Biography,1994,8757570742,Available,,,,Damaged
The downy waterfowl of North America,Colleen Helgeson Nelson,Fiction,2007,5375461598,Available,,,,To Be Replaced
Cooking for Jack,"Nicholson, Jack, Baratta, Tommy, Baratta, Marylou, and Nicholson, Jack (INT)",History,2016,8044354825,Returned,Student 59,13-04-2024,14-04-2024,Good
How to Become a Successful Consultant in Your Own Field,Prima,Technology,2019,2554145481,Issued,Student 55,03-03-2024,17-03-2024,Lost
"Sophie Du Pont: A Young Lady in America : Sketches, Diaries, and Letters, 1823-1833","Low, Betty-Bright and Hinsley, Jacqueline",Fantasy,1985,2458198451,Issued,Student 87,20-01-2024,06-02-2024,To Be Replaced
MBO for nonprofit organizations,"McConkey, Dale D",Fantasy,2012,8628842157,Issued,Student 76,01-03-2024,05-03-2024,To Be Replaced
"The Wrinkle Cure: Unlock the Power of Cosmeceuticals for Supple, Youthful Skin","Perricone, Nicholas",Non-Fiction,1991,3587283948,Available,,,,Lost
Step-By-Step Container Gardening: 50 Recipes for Creating Glorious Pots and Boxes,"Donaldson, Stephanie",Biography,2011,7783763790,Issued,Student 162,08-02-2024,23-02-2024,Damaged
The New Grove Modern Masters (Composer Biography Series),"Lampert, Vera, Kemp, Ian, White, Eric White",History,2020,5536224717,Available,,,,Good
City of Gold,"Deighton, Len",History,1982,5539308214,Issued,Student 40,14-06-2024,12-07-2024,Damaged
Mother of Pearl,"Haynes, Melinda",Fantasy,2012,6946306973,Available,,,,To Be Replaced
Icons,"Winthrop, Caroline",Biography,1992,5560712830,Available,,,,Good
The View from a Monastery,"Tvedten, Benet",Fiction,2012,3775094726,Available,,,,Damaged
Who Needs God,"Kushner, Harold S.",History,2008,3619094295,Returned,Student 191,13-03-2024,26-03-2024,Good
Loving Thoughts,"Rice, Helen Steiner",Science,2023,3567900251,Returned,Student 34,25-03-2024,29-03-2024,Lost
Kirkpatrick Mission (Diplomacy Wo Apology Ame at the United Nations 1981 to 85,"Gerson, Allan",History,1998,5940815822,Available,,,,Good
Bringing up Kids American Style,"Novello, Joseph",Non-Fiction,2002,8138816152,Available,,,,To Be Replaced
Maryland Today,"Bard, Harry",Fiction,1999,7695519305,Issued,Student 66,20-06-2024,13-07-2024,To Be Replaced
Deployment: Hiding Behind Power Struggles as a Character Defense (Psychoanalytic Therapy Series),"Moses-Hrushovski, Rena",Fantasy,1985,2554039848,Issued,Student 159,16-02-2024,23-02-2024,Damaged
The Final Days,"Bernstein, Carl and Woodward, Bob",History,1992,1590838716,Available,,,,Good
James Herriot: The Life of a Country Vet,"Lord, Graham",Fantasy,2014,9752058817,Issued,Student 68,01-06-2024,14-06-2024,Good
The Lisle Letters: An Abridgement,"Byrne, Muriel St. Clare (EDT)",Non-Fiction,2019,2879792991,Issued,Student 187,22-06-2024,16-07-2024,Lost
The White Man's Burden: Historical Origins of Racism in the United States (Galaxy Books),"Jordan, Winthrop D.",Fantasy,1998,8661364201,Available,,,,To Be Replaced
